Text,Emotion,Temiz_Text
Ekrem İmamoğlu'ndan dikkat çeken Kanal İstanbul tepkisi! https://t.co/xc4nISqJCZ,Neutral,ekrem imamoğlu ndan dikkat çekmek kanal istanbul tepki
Öğretmenin bizi dövmesi ve küfür etmesi.,Anger,öğretmen dövmek küfür etmek
Yere tüküren insan gördüğümde.,Disgust,yer tükürmek insan görmek
yaz tatili gelince havalara uçarım,Happy,yaz tatil gelmek hava uçarım
Sınavımın beklediğimden sıkıntılı geçmesi.,Sadness,sınav beklemek sıkıntı geçmek
Okul tuvaletlerinin kokusu.,Disgust,okul tuvalet koku
"Domates salçası vb. ürünlerin üzerinde oluşan küf görüntüsü, beni gerçekten rahatsız ediyor.",Disgust,domates salça vb ürün üzeri oluşmak küf görüntü gerçekten rahat ediyor
Almancadan 52 alınca hayretler içinde kaldım.,Surprise,almancadan alınca hayret iç kalmak
Planlamadan gelişen buluşmalar.,Surprise,planlamak gelişmek buluşmak
Arkadaşımın yemek yerken hapşırmasından tiksindim.,Disgust,arkadaş yemek yer hapşırmak tiksinmek
Siyasi partiler farklı seçmen gruplarını yönlendiriyor.,Neutral,siyasî parti fark seçmen grup yönlenmek
tatile gittiğimde eski bir arkadaşımı görmüştüm. Çok şaşırdım.,Surprise,tatil gitmek eski arkadaş görmek çok şaşırmak
Saygısız öğrenciler.,Anger,saygı öğrenci
Puanımın üstünde bir yere nakil isteyemeyeceğimi öğrendiğimde.,Sadness,puan üst yer nakil istemek öğrenmek
Ailem ve sevdiklerim yanımda oldukları anlar.,Happy,aile sevmek yan oldukları an
Doğru olduğundan emin olduğum bir konuda yanıldığım zaman.,Surprise,olduğundan emin olduğum konu yanmak zaman
sigara içildiğinde kokusunu duymaya dayanamıyorum.,Disgust,sigara içildiğinde koku duymak dayanmak
1975 yılına kadar otel olarak işletildi.,Neutral,yıl otel olarak işlemek
Ailemin beni bazı düşüncelerime saygı göstermemeleri öfkelendiriyor.,Anger,aile bazı düşünce saygı göstermek öfke
İyi niyetin suistimal edildiği zaman,Anger,iyi niyet suistimal edildiği zaman
Haberleri izlerken şehit ya da ölüm haberlerinden tutup bir karıncanın incinmesine kadar her şeye üzülürüm. Çok hassaslığımdan dolayı bazen kendimi yıpratırım.,Sadness,haber izlemek şehit ölüm haber tutmak karınca incinmek şey üzülürüm çok hassas kendi yıpratmak
Sigaranın kokusu.,Disgust,sigara koku
ailem mutlu olduğunda benimde içime huzur dolar.,Happy,aile mutlu olduğunda ben iç huzur dolar
Çıkarcı davrananlardan öfkeleniyorum.,Anger,çıkar davranmak öfke
Haksızlık yapıldığında.,Anger,hak yapmak
"trafik kazaları, hastane gibi ortamlarda genelde korkarım.",Fear,trafik kaza hastane ortam genelde korkmak
Kaba davranışlı insanlar beni öfkelendirir.,Anger,kaba davranmak insan öfke
Boğazın Asya kıyısında Beykozda Hünkâr İskelesi mevkiinde bulunmaktadır.,Neutral,boğaz asya kıyı beykozda hünk iskele mevkii bulunmak
Dişçi çocukluğumda korktuğum bir yerdi.,Fear,diş çocukluk korkmak yermek
Küçük şeylerden bile mutlu olabilirim.,Happy,küçük şey bile mutlu olabilirim
birilerinin beni ilgilendiren işlere burnunu sokmaları beni öfkelendiriyor.,Anger,biri ilgilenmek iş burun sokmak öfke
Arabayla giderken köpeğe çarptım ve öldü.,Sadness,araba gider köpek çarpmak öldü
Brokoli sebzesi.,Disgust,brokoli sebze
"8 yaşımdayken doğum günümde gündüz teyzem,annem ve ben sinemaya gidip yemek yiyerek eğlenmiştik. Akşam olunca annemle eve geldik ve babamın gelmesini bekledik. Babam geldiğinde çok mutlu oldum ama o doğum günümü teyzemle kutladığım için bana kızgındı ve doğum günümü kutlamadan uyudu. Bana hediye almadı ve pastamı annemle kesip yedim. Bu beni çok üzmüştü.",Sadness,yaş doğum gün gündüz teyze anne sinema gidip yemek yiyerek eğlenmek akşam olunca anne ev gelmek baba gelmek beklemek baba gelmek çok mutlu oldum doğum gün teyze kutlamak kızgın doğum gün kutlamak uyumak hediye almak pasta anne kesmek yedim çok üzmek
Ödevimi yapmayı unuttuğumu anladığım anda korkudan neredeyse ölecektim.,Fear,ödev yapmak unutmak anlamak an korku neredeyse ölecektim
arkadaşıma yardım etmediğim için üzgünüm.,Sadness,arkadaş yardım etmek üzgün
Kardeşimin hastalığına çok üzüldüm,Sadness,kardeş hastalık çok üzüldüm
sınıfı geçmek beni mutlu eder.,Happy,sınıf geçmek mutlu eder
Çok sevdiğim arkadaşımda nedensiz yere küstüğümüzde çok üzülmüştüm.,Sadness,çok sevmek arkadaş neden yer küsmek çok üzülmüştüm
"Ürünü cam bekliyordum ama plastik geldi, bu benim için pek önemli değil.",Neutral,ürün cam beklemek plastik gelmek ben önem değil
Çakma kıyafet giyen insanlar.,Anger,çakma kıyafet giymek insan
Sınavlara girmeden önce korkarım.,Fear,sınav girmek önce korkmak
Saldırgan köpeklerden korkarım.,Fear,saldırgan köpek korkmak
"Kızarmış patates, bir çok yemek kültürüne sonradan girmiştir.",Neutral,kızarmak patates çok yemek kültür sonradan girmek
Sınıf arkadaşımın kardeşinin yalova'da kardeşimle aynı sınıfta olduğunu duyunca şaşırmıştım,Surprise,sınıf arkadaş kardeş yalova kardeş aynı sınıf olduğunu duymak şaşırmak
Kızımın Üniversiteyi bitirip işe başladığında ağlamıştım.,Happy,kız üniversite bitirmek iş başlamak ağlamak
annem sevdiğim tatlıları yapınca havalara uçarım,Happy,anne sevmek tatlı yapmak hava uçarım
evde yalnızken elektriklerin gitmesinden çok korkarım,Fear,ev yalnız elektrik gitmek çok korkmak
Aynı ödevi iki kez yapmak zorunda kaldığımda.,Anger,aynı ödev iki kez yapmak zor kalmak
Oğlum herhangi bir konuda hayal kırıklığına uğradığında çok üzülüyorum.,Sadness,oğlum herhangi konu hayal kırık uğramak çok üzülüyorum
Saygısız insanlar görmek.,Anger,saygı insan görmek
Fena değil ama çok kaliteli bir ürün değil. İçi çok küçük ve ucuz pamuktan yapılmış sünger gibi.,Neutral,fena değil çok kalite ürün değil iç çok küçük ucuz pamuk yapmak sünger
Yemek yedikleri halde kilo almayan insanlara.,Surprise,yemek yedikleri hal kilo almak insan
"ilkokulda olduğum ilk aşıdan ödüm kopmuştu, canımın yanacağı endişesi beni tedirgin etmişti",Fear,ilkokul olduğum ilk aşı öd kopmak can yanmak endişe tedirgin etmek
"""DOM"" lablarından korkuyorum",Fear,do lablarından korkmak
Ak partinin hala iktidar olması.,Surprise,ak parti iktidar olmak
matematikten 100 alınca çok sevinmiştim.,Happy,matematik alınca çok sevinmek
Allah'ın evreni yaratmasındaki detayları.,Surprise,allah ın evreni yaratmak detay
Ekonomik politikaları hükümetler uygular.,Neutral,ekonomik politika hükümet uygulamak
Küçükken üzerime köpek atıldı ve elimdeki ekmeğin birisini aldı bundan dolayı köpeklerden korkarım.,Fear,küçük üzeri köpek atıldı el ekmek biri aldı bu köpek korkmak
Okulda tuvaletlerde sifonun çekilmemesi.,Disgust,okul tuvalet sifon çekmek
Annem ile kavga ettiğimiz zamanlar.,Sadness,anne kavga ettiğimiz zaman
Yapılması güç olan bir şeyi başaran insanlara.,Surprise,yapmak güç olan şey başarmak insan
@sorridisperati Kürk mantolu madonna&kahve storysi de olabilir,Neutral,kürk manto madonna kahve storysi olabilir
Karakter gelişimi ve duygusal derinlik bakımından güçlü bir film ancak bazen tempoda yavaş kalabilir.,Neutral,karakter gelişim duygu derinlik bakım güç film tempo yavaş kalmak
Yalan söylendiği zaman.,Anger,yalan söylemek zaman
Sevmediğim kız bana tip tip baktığı zaman.,Anger,sevmek kız tip tip bakmak zaman
Tesisin hamam kısmının resepsiyonu iyi ancak aile hamam kısmı çok temiz değil,Neutral,tesis hamam kısım resepsiyon iyi aile hamam kısım çok temiz değil
İnsanların cinsel konuda eğitimsiz ve ahlaksız davranmaları.,Anger,insan cinsel konu eğitim ahlak davranmak
Derslere geç kaldığım zamanlar.,Fear,ders geç kalmak zaman
iki hafta banyo yapmamış kişi,Disgust,iki hafta banyo yapmak kişi
Böceklerden.,Disgust,böcekler
Babaannem ameliyat olduğu zaman.,Sadness,babaanne ameliyat olduğu zaman
Anadolu Medeniyetleri Müzesinin 1997 yılında Avrupada Yılın Müzesi seçilmesi.,Neutral,anadolu medeniyet müze yıl avrupada yıl müze seçmek
ödevlerden tiksiniyorum,Disgust,ödev tiksinmek
arkadaşımı korkutmak için sessizce arkasından yaklaştım. Meğerse oda maske yapmış balkonda oturuyormuş. korkup arkasını dönünce o tipi görüp korkudan suratına yumruk atmıştım. hayatımda ilk defa bir kıza vurdum.,Fear,arkadaş korkutmak ses arka yaklaşmak meğerse oda maske yapmak balkon oturmak korkmak arka dönmek tip görmek korku surat yumruk atmak hayat ilk defa kız vurmak
yere düştüm dizim kanadı. Annem düştüğüm için kızdı ve ben çok üzüldüm.,Sadness,yer düşmek dizim kanat anne düşmek kızmak çok üzüldüm
ölen dedemi düşününce içim sızlar,Sadness,ölen dede düşünmek iç sızlamak
Beklemediğim bir not almak.,Surprise,beklemek not almak
Köpek havlamasından korkarım.,Fear,köpek havlamak korkmak
Beklemediğim şeyler olduğu zaman.,Surprise,beklemek şey olduğu zaman
Öğretmenin dersi anlatamaması.,Anger,öğretmen ders anlamak
Beklemediğim bir başarı gösterdiğim zaman.,Happy,beklemek başarı göstermek zaman
Çok emek verdiğim bir işin çöp olması.,Sadness,çok emek vermek iş çöp olmak
geçen sene fen dersinin sınavından yüz alınca çok şaşırmıştım.,Surprise,geçen sene fen ders sınav yüz alın çok şaşırmak
insanların kendi fikirlerini bana empoze etmesinden nefret ederim. Örneğin bir insanın siyasi fikrini sorgulamadan bana aşılamaya çalışmasından nefret ederim.,Anger,insan fikir empoze etmek nefret ederim örneğin insan siyasî fikir sorgulamak aşılamak çalışmak nefret ederim
Pis bırakılan tuvalet midemi bulandırır.,Disgust,pis bırakmak tuvalet mide bulanmak
"Dil ve anlatım dersinden ""0"" aldığımda baya bir şaşırdım.",Surprise,dil anlatım ders aldığımda baya şaşırmak
karanlıkta yalnız kalmak,Fear,karanlık kalmak
Köpekler en büyük korkum.,Fear,köpek büyük korku
Ölüm ya da ayrılık durumları.,Sadness,ölüm ayrılık durum
"Bu özelliğiyle geleneksel Türk evi plan tipini yansıtan yapı, genellikle dinlenme ve av amaçlı olarak kullanılan bir “biniş kasrı” niteliğindedir.",Neutral,özellik gelenek türk ev plan tip yansımak yapı genellikle dinlenmek av amaç olarak kullanmak binmek kasır nitelik
Sınav sonuçları açıklanırken.,Fear,sınav sonuç açıklamak
Bir yakınımı kaybetmekten.,Fear,yakın kaybetmek
2 saat  karanlık bir odada kalmıştım.,Fear,saat karanlık oda kalmak
Kuzenimin bu yaz gelmeyecek olmasına.,Sadness,kuzen yaz gelmek olmak
Siyasi liderler iç güvenlik meseleleriyle ilgili kararları alırlar.,Neutral,siyasî lider iç güvenlik mesele ilgili karar alırlar
En yakın arkadaşımın beni kullandığını fark ettiğimde.,Anger,yakın arkadaş kullanmak fark ettiğimde
bana ahlak dersi vermeye çalıştığında sokaktaki adama çok sinirlendim.,Anger,ahlak ders vermek çalışmak sokak adam çok sinir
Bir yakınımdan ayrılmak.,Sadness,yakın ayrılmak
Paramı kaybettiğimde.,Sadness,para kaybetmek
Arkadaşım aniden bağırarak korkutmuştu.,Fear,arkadaş aniden bağırmak korkutmak
"Dönemin Kültür Müdürü Galip Bey, Ankara Kalesi'ndeki Akkale Burcu, Augustus Mabedi ve Roma Hamamı'nı müzeye dönüştürerek ilk adımı atmıştır.",Neutral,dönem kültür müdür galip bey ankara kale ndeki akkale burcu augustus mabet roma hamam nı müze dönüşmek ilk adım atmak
Evde tek başımayken sesler duyduğum zaman.,Fear,ev baş ses duymak zaman
İnsanların beni küçük gördüğü zaman.,Anger,insan küçük görmek zaman
Bisikletimi çaldıklarında çok öfkelenmiştim.,Anger,bisiklet çalmak çok öfke
beslediğim kedilerin ölmesine çok üzüldüm ve sokakta gördüğüm aç hayvanlara çok üzülüyorum.,Sadness,beslemek kedi ölmek çok üzüldüm sokak görmek aç hayvan çok üzülüyorum
Yürürken birisinin bana çarpması.,Anger,yürümek biri çarpmak
@KRCBEY28 Tusaş ve Baykar ortak geliştirsin MIUS'u,Neutral,tusaş baykar ortak gelişmek mıus
Pis yerlerde durmaktan tiksiniyorum.,Disgust,pis yer durmak tiksinmek
Yakın arkadaşımın hakkımda başkasına  bir şeyler anlatması.,Anger,yakın arkadaş hak başka şey anlamak
Kantinde sıram alındığında öfkeleniyorum.,Anger,kantin sıra alınmak öfkelenmek
hava soğuk ve yağmurlu olduğu için çok mutsuzum.,Sadness,hava soğuk yağmur olduğu çok mutsuz
Başarı sağlamak.,Happy,başarı sağlamak
Yeteri kadar sevilmediğim zaman.,Sadness,yeter sevmek zaman
Ağır okul çantaları.,Anger,ağır okul çanta
Kötü geçen bir sınavdan 100 tam puan aldığımda.,Surprise,kötü geçen sınav tam puan aldığımda
Sevmediğim insanların hareketlerini görmek.,Anger,sevmek insan hareket görmek
Hiçbir neden yokken uykumun bölünmesi beni öfkelendirir.,Anger,yok uyku bölmek öfke
Beklemediğim birisinin beklemediğim bir hareketi.,Surprise,beklemek biri beklemek hareket
"""Matematiksel ürün bozuldu ama yetkili arayan kişi onu hemen yeniden oluşturdu ve geriye doğru gönderdi. Bilgi teknolojisi başlangıç ​​seviyesi için eğlenceli bir pilotsuz uçaktır.""",Neutral,matematik ürün bozmak yetkili aramak kişi hemen yeniden oluşmak geri göndermek bilgi teknoloji başlangıç seviye eğlence pilot uçak
Sevgilim olmayınca üzülüyorum.,Sadness,sevgili olmak üzülüyorum
Basketbol maçında 5. faul aldıktan sonra çıkarıldığım zaman üzüldüm.,Sadness,basketbol maç faul aldıktan sonra çıkarmak zaman üzüldüm
Sınavlarda hata yaptığımda.,Sadness,sınav hata yapmak
Ağzı açık sakız çiğneyenlerden tiksinirim.,Disgust,ağzı açık sakız çiğnemek tiksinmek
Siyasi liderler siyasi kampanya sırasında politika değişikliği sözü verebilirler.,Neutral,siyasî lider siyasî kampanya sıra politika değişik söz vermek
kardeşim sınavdan yüksek not alınca şok oldum,Surprise,kardeş sınav yüksek not alınca şok oldum
İki farklı şehirlerde yaşayan arkadaşlarımın bir birlerini tanıdıklarını öğrendiğim an.,Surprise,iki fark şehir yaşamak arkadaş bir tanımak öğrenmek an
Bir insanın cahilliği ile övünmesine şaşırırım.,Surprise,insan cahil övünmek şaşırmak
iki yıl üniversite okuduktan sonra bir sene dershaneye gittikten sonra dokuz eylül üniversitesi'ni kazanınca çok mutlu oldum,Happy,iki yıl üniversite okumak sonra sene dershane gitmek sonra dokuz eylül üniversitesi ni kazanınca çok mutlu oldum
Okul program dışı tatil olduğunda şaşırırım.,Surprise,okul program dış tatil olduğunda şaşırmak
Bir yakınım öldüğünde gece vakti eve giremezdim,Fear,yakın öldüğünde gece vakit ev girmek
Dikkate alınmayınca öfkelenirim.,Anger,dikkat alınmak öfkelenmek
Tuvaletin pis kokusu.,Disgust,tuvalet pis koku
Karanlık bir yerde yalnız kaldığım zaman.,Fear,karanlık yer kalmak zaman
kuzenimin düğünü oldu çok mutlu oldum,Happy,kuzen düğün oldu çok mutlu oldum
"""Fenerbahçe'nin"" ""RVP"" yi almasına şaşırdım.",Surprise,fenerbahçe nin rvp yi almak şaşırmak
Abimin oturduğumuz şehir dışındaki bir üniversiteyi kazanmasına üzüldüm.,Sadness,abi oturmak şehir dış üniversite kazanmak üzüldüm
Sunumu iyi yapmaktan mutlu olurum.,Happy,sunum iyi yapmak mutlu olurum
Beklemediğim bir not ya da bir davranış şaşırtır.,Surprise,beklemek not davranmak şaşırmak
En yakın arkadaşım bana sürpriz yapmak için İzmir'e geldiği zaman şaşırdım.,Surprise,yakın arkadaş sürpriz yapmak izmir gelmek zaman şaşırmak
yeni kitaba başladığımda mutlu olurum,Happy,yeni kitap başlamak mutlu olurum
@CedricAndChann Evde maske olduğunu unutup maske ile dolaştığım zamanlar var 😂,Neutral,ev maske olduğunu unutmak maske dolaşmak zaman var
Erkek arkadaşımla ilk buluşmamızda.,Happy,erkek arkadaş ilk buluşmak
her yaptığım sorgulandığında deliririm.,Anger,yapmak sorgulamak delirmek
"RT @TeknoSavunma: ?? ASELSAN iştiraki hedefi yıktı geçti ?? Yıllık büyüme hedefi yüzde 10 olan @AselsanOptik, 2 yılda yüzde 500 büyüdü ?? Milli silahları donattı ?? Filipinler, Finlandiya, Kazakistan, Ürdün ve Katar'a ihracat yaptı ▶️ https://t.co/evwXbpUn84 #ASELSAN #ASELS #ASELSANSİVAS",Neutral,aselsan iştirak hedef yıkmak geçmek yıllık büyümek hedef yüz olan yıl yüzde büyümek millî silâh donamak filipin finlandiya kazakistan ürdün katmak ihracat yapmak aselsan asels aselsansivas
Ödevler kontrol edilirken.,Fear,ödev kontrol edilirken
Aileme verilebilecek haksız zararlar,Anger,aile vermek hak zarar
Dokunaklı bir hikaye anlatımıyla bazıları için aşırı duygusal olabilir.,Neutral,dokunaklı hikâye anlatım bazı aşırı duygu olabilir
dışarıda yemek yediğimde masanın altından aniden bir kedi çıkarsa çok korkarım,Fear,dışarı yemek yediğimde masa alt aniden kedi çıkmak çok korkmak
